bid,title,price
22434323,내일 맑음,11700
20672966,집 떠난 뒤 맑음(상&하) + 다이어리 세트,24840
14633314,"5월 18일, 맑음",11520
22348247,기억맑음(전3권),39200
21300590,"여행은 맑음, 때때로 흐림",11250
20672961,집 떠난 뒤 맑음,12420
16273791,맑음이와 여우 할머니,9000
20672962,집 떠난 뒤 맑음,12420
22308993,오늘 내 기분은 맑음,9900
20578114,꽃보다 맑음,4500
16310882,"오늘의 인사총무, 맑음",11700
20711858,"맑음, 때때로 소나기",10350
17804911,꽃보다 맑음,4500
20870015,오늘의 날‘시’는 흐린 뒤 맑음,10500
22250306,제주는 맑음,11520
20740841,"소설, 때때로 맑음",17820
10504390,꽃보다 맑음,12600
16331547,"오늘의 인생 날씨, 차차 맑음",12600
17891177,세상은 맑음,12150
